transaction_id,amount_gbp,hour_of_day,merchant_category,payment_method,transaction_velocity,location_risk,fraud_label,timestamp
1,1100.9,13,fashion,credit_card,2,9,0,2025-01-01 00:00:00
2,552.05,11,restaurants,debit_card,14,0,0,2025-01-01 00:03:00
3,1232.77,13,groceries,credit_card,6,5,0,2025-01-01 00:04:00
4,1714.57,23,travel,debit_card,8,5,0,2025-01-01 00:15:00
5,389.6,15,restaurants,credit_card,3,10,0,2025-01-01 00:08:00
6,807.29,14,gaming,credit_card,6,4,0,2025-01-01 00:10:00
7,1946.34,7,gaming,bank_transfer,1,5,0,2025-01-01 00:06:00
8,1486.64,3,gaming,mobile_wallet,5,4,0,2025-01-01 00:28:00
9,820.4,0,fashion,bank_transfer,9,0,0,2025-01-01 00:32:00
10,707.96,10,groceries,bank_transfer,12,5,0,2025-01-01 00:09:00
11,57.43,17,travel,mobile_wallet,6,1,0,2025-01-01 00:50:00
12,1285.9,21,subscriptions,mobile_wallet,7,5,0,2025-01-01 00:11:00
13,1826.64,22,travel,mobile_wallet,9,10,1,2025-01-01 00:48:00
14,224.57,20,electronics,bank_transfer,12,1,0,2025-01-01 01:05:00
15,791.74,6,fuel,bank_transfer,2,10,0,2025-01-01 01:10:00
16,1823.58,19,fashion,bank_transfer,9,1,0,2025-01-01 00:45:00
17,726.35,15,fuel,bank_transfer,14,8,0,2025-01-01 01:20:00
18,1394.58,14,groceries,credit_card,5,3,0,2025-01-01 01:25:00
19,1638.55,9,restaurants,credit_card,12,1,0,2025-01-01 00:18:00
20,1824.13,8,subscriptions,bank_transfer,12,7,0,2025-01-01 01:16:00
21,329.95,13,fashion,bank_transfer,4,3,0,2025-01-01 01:40:00
22,1628.49,21,travel,credit_card,14,4,1,2025-01-01 01:45:00
23,17.36,16,gaming,mobile_wallet,4,6,0,2025-01-01 01:50:00
24,1393.98,12,travel,debit_card,1,8,1,2025-01-01 01:09:00
25,155.61,12,electronics,bank_transfer,2,1,0,2025-01-01 00:24:00
26,62.91,8,electronics,debit_card,2,0,0,2025-01-01 01:15:00
27,1137.11,9,groceries,mobile_wallet,12,5,0,2025-01-01 02:10:00
28,636.08,8,restaurants,bank_transfer,14,2,0,2025-01-01 01:48:00
29,1700.0,7,electronics,debit_card,6,6,0,2025-01-01 01:24:00
